t=2025-12-17T22:00:24+0530 lvl=info msg="no configuration paths supplied"
t=2025-12-17T22:00:24+0530 lvl=info msg="using configuration at default config path" path="/Users/viswanathreddy/Library/Application Support/ngrok/ngrok.yml"
t=2025-12-17T22:00:24+0530 lvl=info msg="open config file" path="/Users/viswanathreddy/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-12-17T22:00:24+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2025-12-17T22:00:24+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-12-17T22:00:25+0530 lvl=info msg="client session established" obj=tunnels.session
t=2025-12-17T22:00:25+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-12-17T22:00:25+0530 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://6620518d793c.ngrok-free.app
t=2025-12-17T22:01:24+0530 lvl=info msg="join connections" obj=join id=6e8fb37ef52a l=[::1]:3000 r=106.217.247.92:29255
t=2025-12-17T22:01:25+0530 lvl=info msg="join connections" obj=join id=8b5211e1dbbc l=[::1]:3000 r=106.217.247.92:29255
t=2025-12-17T22:01:25+0530 lvl=info msg="join connections" obj=join id=9809b1e8d04f l=[::1]:3000 r=106.217.247.92:29255
t=2025-12-17T22:01:25+0530 lvl=info msg="join connections" obj=join id=2ee91abe67b9 l=[::1]:3000 r=106.217.247.92:29255
t=2025-12-17T22:01:25+0530 lvl=info msg="join connections" obj=join id=e5e3b72ab1e4 l=[::1]:3000 r=106.217.247.92:29255
t=2025-12-17T22:01:25+0530 lvl=info msg="join connections" obj=join id=b44d5f0dc522 l=[::1]:3000 r=106.217.247.92:29255
t=2025-12-17T22:01:25+0530 lvl=info msg="join connections" obj=join id=7cf69cd92b63 l=[::1]:3000 r=106.217.247.92:29255
t=2025-12-17T22:01:25+0530 lvl=info msg="join connections" obj=join id=f511918fb217 l=[::1]:3000 r=106.217.247.92:29255
t=2025-12-17T22:01:25+0530 lvl=info msg="join connections" obj=join id=291716c5b984 l=[::1]:3000 r=106.217.247.92:29255
t=2025-12-17T22:01:25+0530 lvl=info msg="join connections" obj=join id=3b46078173ba l=[::1]:3000 r=106.217.247.92:29255
t=2025-12-17T22:01:25+0530 lvl=info msg="join connections" obj=join id=46dc4aa76171 l=[::1]:3000 r=106.217.247.92:29255
t=2025-12-17T22:01:25+0530 lvl=info msg="join connections" obj=join id=cab6b38edbfe l=[::1]:3000 r=106.217.247.92:29255
t=2025-12-17T22:01:25+0530 lvl=info msg="join connections" obj=join id=85938e8e65bd l=[::1]:3000 r=106.217.247.92:29255
t=2025-12-17T22:01:25+0530 lvl=info msg="join connections" obj=join id=220504081aa2 l=[::1]:3000 r=106.217.247.92:29255
t=2025-12-17T22:01:25+0530 lvl=info msg="join connections" obj=join id=6c2e5b64faa1 l=[::1]:3000 r=106.217.247.92:29255
t=2025-12-17T22:01:25+0530 lvl=info msg="join connections" obj=join id=f198a644364f l=[::1]:3000 r=106.217.247.92:29255
t=2025-12-17T22:01:25+0530 lvl=info msg="join connections" obj=join id=f9bff0e22116 l=[::1]:3000 r=106.217.247.92:29255
t=2025-12-17T22:01:25+0530 lvl=info msg="join connections" obj=join id=0a008209c1de l=[::1]:3000 r=106.217.247.92:29255
t=2025-12-17T22:01:25+0530 lvl=info msg="join connections" obj=join id=ee5e33a7ecda l=[::1]:3000 r=106.217.247.92:29255
t=2025-12-17T22:01:25+0530 lvl=info msg="join connections" obj=join id=95a88e55241e l=[::1]:3000 r=106.217.247.92:29255
t=2025-12-17T22:01:26+0530 lvl=info msg="join connections" obj=join id=d3911ff1bfa9 l=[::1]:3000 r=106.217.247.92:29255
t=2025-12-17T22:01:27+0530 lvl=info msg="join connections" obj=join id=b5ac273a83ac l=[::1]:3000 r=106.217.247.92:29256
t=2025-12-17T22:07:33+0530 lvl=info msg="join connections" obj=join id=b0742dfde9e6 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62500
t=2025-12-17T22:07:35+0530 lvl=info msg="join connections" obj=join id=e352506bfa52 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:36+0530 lvl=info msg="join connections" obj=join id=d36701b3ae51 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:36+0530 lvl=info msg="join connections" obj=join id=0155068a5229 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:36+0530 lvl=info msg="join connections" obj=join id=21a8dda698e3 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:36+0530 lvl=info msg="join connections" obj=join id=796244062f41 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:36+0530 lvl=info msg="join connections" obj=join id=e012d45c32b4 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:36+0530 lvl=info msg="join connections" obj=join id=36c295a7000f l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:36+0530 lvl=info msg="join connections" obj=join id=894d6a88274f l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:36+0530 lvl=info msg="join connections" obj=join id=dcff836ad790 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:36+0530 lvl=info msg="join connections" obj=join id=67b6c6f2fd60 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:36+0530 lvl=info msg="join connections" obj=join id=d19fe0042362 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:36+0530 lvl=info msg="join connections" obj=join id=844b5ca9d50c l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:36+0530 lvl=info msg="join connections" obj=join id=79d7ba57cb74 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:36+0530 lvl=info msg="join connections" obj=join id=9b8350094bd9 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
